,Descripción,Unidad,Precio,$,Tipo
696,"UND
32,12
SARDINEL 0.80 X 0.50 X 0.20 ML 145 KG",,,,"UND
32,12
SARDINEL 0.80 X 0.50 X 0.20 ML 145 KG"
697,"UND
21,76
TOPELLANTAS DE CONCRETO 0.60ML",,,,"UND
21,76
TOPELLANTAS DE CONCRETO 0.60ML"
698,"UND
43,52
TOPELLANTAS DE CONCRETO 1.80ML",,,,"UND
43,52
TOPELLANTAS DE CONCRETO 1.80ML"
699,VIGUETA (1),,,,VIGUETA (1)
700,"M
10,74
VIGUETA V101",,,,"M
10,74
VIGUETA V101"
701,"M
11,8
VIGUETA V102",,,,"M
11,8
VIGUETA V102"
702,"M
12,52
VIGUETA V103",,,,"M
12,52
VIGUETA V103"
703,"M
13,56
VIGUETA V104",,,,"M
13,56
VIGUETA V104"
704,"M
15,32
VIGUETA V105",,,,"M
15,32
VIGUETA V105"
705,BOVEDILLA DE ARCILLA (2),,,,BOVEDILLA DE ARCILLA (2)
706,"PZA
2,31
BOVEDILLA 12CM @50CM",,,,"PZA
2,31
BOVEDILLA 12CM @50CM"
707,"PZA
2,32
BOVEDILLA 15CM @50CM",,,,"PZA
2,32
BOVEDILLA 15CM @50CM"
708,"PZA
2,82
BOVEDILLA 20CM @50CM",,,,"PZA
2,82
BOVEDILLA 20CM @50CM"
709,"PZA
3,82
BOVEDILLA 25CM @50CM",,,,"PZA
3,82
BOVEDILLA 25CM @50CM"
710,"PZA
2,01
MEDIA BOVEDILLA 15CM @50CM",,,,"PZA
2,01
MEDIA BOVEDILLA 15CM @50CM"
711,"PZA
2,16
BANDEJA @50CM",,,,"PZA
2,16
BANDEJA @50CM"
712,BOVEDILLA DE CONCRETO (3),,,,BOVEDILLA DE CONCRETO (3)
713,BOVEDILLA DE CONCRETO 15@50 CM,PZA,"1,53",,BOVEDILLA DE CONCRETO (3)
714,BOVEDILLA DE CONCRETO 20@50 CM,PZA,"1,8",,BOVEDILLA DE CONCRETO (3)
715,MEDIA BOVEDILLA DE CONCRETO 15@50 CM,PZA,"1,32",,BOVEDILLA DE CONCRETO (3)
716,MEDIA BANDEJA DE CONCRETO @50 CM,PZA,"0,88",,BOVEDILLA DE CONCRETO (3)
717,BANDEJA DE CONCRETO @ 50 CM,PZA,"1,15",,BOVEDILLA DE CONCRETO (3)
718,BANDEJA DE CONCRETO @ 50 CM PARA MIX,PZA,"0,89",,BOVEDILLA DE CONCRETO (3)
719,BANDEJA DE CONCRETO @ 60 CM PARA MIX,PZA,"1,26",,BOVEDILLA DE CONCRETO (3)
720,BOVEDILLA DE POLIESTIRENO (4),,,,BOVEDILLA DE POLIESTIRENO (4)
721,BLOQUE RECTO POLIESTIRENO 0.08X0.38X1M/D10,PZA,"2,7",,BOVEDILLA DE POLIESTIRENO (4)
722,BLOQUE RECTO POLIESTIRENO 0.11X0.38X1M/D10,PZA,"3,71",,BOVEDILLA DE POLIESTIRENO (4)
723,BLOQUE RECTO POLIESTIRENO 0.16X0.38X1M/D10,PZA,"5,39",,BOVEDILLA DE POLIESTIRENO (4)
724,BLOQUE RECTO POLIESTIRENO 0.05X0.48X1M/D10,PZA,"2,28",,BOVEDILLA DE POLIESTIRENO (4)
725,BLOQUE RECTO POLIESTIRENO 0.08X0.48X1M/D10,PZA,"3,78",,BOVEDILLA DE POLIESTIRENO (4)
726,BLOQUE RECTO POLIESTIRENO 0.13X0.48X1M/D10,PZA,"6,23",,BOVEDILLA DE POLIESTIRENO (4)
727,BOVEDILLA POLIESTIRENO 12@50/1M/D10/LS,PZA,"4,93",,BOVEDILLA DE POLIESTIRENO (4)
728,BOVEDILLA POLIESTIRENO 15@50/1M/D10/LS,PZA,"6,16",,BOVEDILLA DE POLIESTIRENO (4)
